country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Djibouti,nonpoor,0.8,3897.23875705236,0.04367659,1.065910526395152,15117.819778213754,0.02779325392032731,0.2919383715793353,0.4799999999999999
Djibouti,poor,0.2,806.6644797937573,0.01797438,0.7363578944193914,2443.940720923487,0.02785267870788333,0.6224866506129807,0.4799999999999999
Dominican Republic,nonpoor,0.8,15890.390535878814,0.3398572,1.141544728310524,42365.921265424666,0.11697338075609791,0.2999999999999999,0.6400000000000002
Dominican Republic,poor,0.2,3296.081848822238,0.16015629999999995,0.4338210867579037,7806.825996631333,0.11599289157619615,0.3489973692170465,0.6400000000000002
Ecuador,nonpoor,0.8,12818.73912113018,0.17610920000000002,1.160836170029142,50064.31795533972,0.02678440866900572,0.6764212741773349,0.4799999999999999
Ecuador,poor,0.2,2607.931792613286,0.09100455,0.3566553198834317,9018.223244237066,0.028542018745532312,0.6999999999999997,0.4799999999999999
El Salvador,nonpoor,0.8,9540.616262696123,0.2072156,1.1883557552200967,70924.14945821797,0.024609958655400995,0.43999999999999995,0.4799999999999999
El Salvador,poor,0.2,2315.3298694366495,0.0411891,0.24657697911961338,17828.40868885038,0.02537292773736264,0.6999999999999998,0.4799999999999999
Estonia,nonpoor,0.8,31730.740831753916,0.3648965,1.1213119782318737,115455.5679307775,0.01789342449046906,0.12597759214313936,0.0
Estonia,poor,0.2,9803.27100134334,0.2434072,0.5147520870725052,26380.410379418587,0.018671414790272976,0.4342145961505898,0.0
Ethiopia,nonpoor,0.8,1758.8041397692857,0.1639884,1.1216336435640504,4663.940743360141,0.01328454402003726,0.2919383715793353,0.6400000000000002
Ethiopia,poor,0.2,614.2523536956558,0.09488185000000003,0.5134654257437985,1574.7101273523533,0.008736650809042528,0.6224866506129807,0.6400000000000002
France,nonpoor,0.8,43535.68655635225,0.5990517,1.124433146253313,197810.66973478696,0.020754062964133017,0.2394999999999999,0.8
France,poor,0.2,14732.249680674511,0.4053758,0.5022674149867479,54027.803231272715,0.022571264322700974,0.5700000000000001,0.8
Gabon,nonpoor,0.8,22203.187112161842,0.24289940000000002,1.1236999143178141,67742.63175373973,0.030314525497658812,0.3269905140632944,0.16000000000000006
Gabon,poor,0.2,5488.322318657121,0.08577912,0.5052003427287436,14866.193019705663,0.06275837729272782,0.6999999999999998,0.16000000000000006
Georgia,nonpoor,0.8,10639.874550896247,0.008063393,1.1289254382650624,30956.436119209717,0.07737811779167258,0.201292325,0.4799999999999999
Georgia,poor,0.2,2519.9406308446146,0.01164885,0.4842982469397509,269.39386450833047,0.07826235361857785,0.5390769999999999,0.4799999999999999
Germany,nonpoor,0.8,50153.469437026826,0.6140809,1.0837380911993768,190432.86373385173,0.01258803720759384,0.24072669375,0.6400000000000002
Germany,poor,0.2,18325.200881279692,0.5265064,0.6650476352024925,40191.94416936588,0.013478301060474734,0.2999999999999999,0.6400000000000002
Ghana,nonpoor,0.8,4684.133341695647,0.2321198,1.0123396885620999,11830.318624065223,0.004835677889840411,0.6973988599523725,0.6400000000000002
Ghana,poor,0.2,1036.085213612714,0.1174127,0.9506412457516001,1148.7459161535571,0.005790942961301881,0.6999999999999997,0.6400000000000002
Greece,nonpoor,0.8,28446.916389691076,0.16323,1.1955833087292675,118670.5299034059,0.07954995159203555,0.14181598750000002,0.8
Greece,poor,0.2,6686.305387518706,0.0654293,0.2176667650829293,34093.92847647637,0.07972414809867136,0.44601325999999997,0.8
Guatemala,nonpoor,0.8,8663.648734331395,0.2047981,1.094701524211688,13425.045455774434,0.07243957139063978,0.09999999999999998,0.3200000000000001
