country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,tau_tax
Chile,22197.0427130463,17948141.0,0.8953,0.8,0.925,0.34739411181855295,3,0.2,1.5,0.06,0.8,0.05,20.0,0.14901159215587234
China,13572.1940877276,1371220000.0,0.55614,0.8,0.8416666666666667,0.22921637913923992,3,0.2,1.5,0.06,0.8,0.05,20.0,0.14844828987796854
Colombia,12988.338794540401,48228704.0,0.76436,0.7333333333333333,0.7166666666666667,0.2797792564799715,3,0.2,1.5,0.06,0.8,0.05,20.0,0.08851588711583003
Comoros,1393.25608064357,788474.0,0.28296,0.26666666666666666,0.16666666666666666,0.197958724460889,3,0.2,1.5,0.06,0.8,0.05,20.0,0.027325532834893845
"Congo, Dem. Rep.",736.680244900367,77266814.0,0.42494,0.4,0.375,0.23705600185809048,3,0.2,1.5,0.06,0.8,0.05,20.0,0.07709086250557874
"Congo, Rep.",5993.153100883521,4620330.0,0.6537999999999999,0.0,0.125,0.37275342390232385,3,0.2,1.5,0.06,0.8,0.05,20.0,0.14077042867769185
Costa Rica,14646.5698200328,4807850.0,0.7682100000000001,0.9333333333333333,0.75,0.48189675491736383,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1670517652650197
Cote d'Ivoire,3300.07248941983,22701556.0,0.5418,0.4,0.45,0.5759764393620561,3,0.2,1.5,0.06,0.8,0.05,20.0,0.09706654291278806
Croatia,20663.9294877334,4203604.0,0.5896399999999999,0.6666666666666667,0.5583333333333333,0.23052247153165525,3,0.2,1.5,0.06,0.8,0.05,20.0,0.28965555969999995
Cyprus,30382.687004096202,1165300.0,0.6692100000000001,0.0,0.175,0.20174778291418224,3,0.2,1.5,0.06,0.8,0.05,20.0,0.34522653622999994
Czech Republic,30380.5907321466,10546059.0,0.72992,0.6666666666666667,0.9,0.23979983157078164,3,0.2,1.5,0.06,0.8,0.05,20.0,0.445884949531
Denmark,45483.7645089796,5683483.0,0.87676,0.7333333333333333,0.9166666666666667,0.23010606402758518,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3809269869375999
Djibouti,3279.12390160064,887861.0,0.7734300000000001,0.6,0.25,0.2605986206727131,3,0.2,1.5,0.06,0.8,0.05,20.0,0.0955025455001621
Dominican Republic,13371.5287984675,10528391.0,0.7898000000000001,0.6,0.5083333333333333,0.3771503990888722,3,0.2,1.5,0.06,0.8,0.05,20.0,0.12313455749292394
Ecuador,10776.577655426801,16144363.0,0.63742,0.8,0.4583333333333333,0.25747347179967145,3,0.2,1.5,0.06,0.8,0.05,20.0,0.18794958493958527
El Salvador,8095.55898404423,6126583.0,0.6672600000000001,0.6666666666666667,0.5083333333333333,0.13424357530792413,3,0.2,1.5,0.06,0.8,0.05,20.0,0.19643802110957678
Estonia,27345.2468656718,1314608.0,0.67538,0.0,0.4,0.2800603915970392,3,0.2,1.5,0.06,0.8,0.05,20.0,0.361123459231
Ethiopia,1529.89378255456,99390750.0,0.19472,0.7333333333333333,0.5916666666666667,0.3781161653838428,3,0.2,1.5,0.06,0.8,0.05,20.0,0.09903525175446172
Finland,38993.6706673048,5479531.0,0.84221,0.8666666666666666,0.8916666666666666,0.21799096857432496,3,0.2,1.5,0.06,0.8,0.05,20.0,0.35787926031559997
France,37774.9991812167,66538391.0,0.7951999999999999,0.7333333333333333,0.95,0.2234491797478895,3,0.2,1.5,0.06,0.8,0.05,20.0,0.38543741445999996
Gabon,18860.2141534609,1725292.0,0.8715600000000001,0.5333333333333333,0.5916666666666667,0.3299123735952057,3,0.2,1.5,0.06,0.8,0.05,20.0,0.12625995590231884
Georgia,9015.88776688592,3717100.0,0.53641,0.6666666666666667,0.6166666666666667,0.3632651483124993,3,0.2,1.5,0.06,0.8,0.05,20.0,0.5674287097069802
Germany,43787.8157258774,81679769.0,0.7530100000000001,0.8,0.9166666666666667,0.27301744639675013,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4051216107368999
Ghana,3954.5237160790603,27409893.0,0.54042,0.8,0.5416666666666667,0.40793501657637044,3,0.2,1.5,0.06,0.8,0.05,20.0,0.17244602597907494
Greece,24094.7941892566,10820883.0,0.7800699999999999,0.8,0.4666666666666667,0.23679175031633581,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4903105209209999
Guatemala,7252.9499659534495,16342897.0,0.51571,0.4666666666666667,0.5833333333333333,0.6475627728005022,3,0.2,1.5,0.06,0.8,0.05,20.0,0.03968312181388099
Guinea,1135.48654988464,12608590.0,0.37161,0.6,0.3333333333333333,0.3510694892836516,3,0.2,1.5,0.06,0.8,0.05,20.0,0.07315949363738812
Honduras,4785.44435420517,8075060.0,0.5473,0.33333333333333337,0.5666666666666667,0.3635926941047578,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1392839012619291
Hungary,24831.3460590894,9843028.0,0.7122700000000001,0.8666666666666666,0.6666666666666667,0.22126941170098394,3,0.2,1.5,0.06,0.8,0.05,20.0,0.555862906
India,5733.45240032591,1311050527.0,0.32747,0.8666666666666666,0.775,0.4525301642355351,3,0.2,1.5,0.06,0.8,0.05,20.0,0.11897224114895763
Indonesia,10385.3233228547,257563815.0,0.53742,0.6666666666666667,0.6083333333333334,0.30997681866727844,3,0.2,1.5,0.06,0.8,0.05,20.0,0.12527162223496394
"Iran, Islamic Rep.",16507.024248116002,79109272.0,0.73375,0.6,0.4166666666666667,0.31799517747918205,3,0.2,1.5,0.06,0.8,0.05,20.0,0.13894089969118878
Ireland,61378.3602470376,4643740.0,0.63241,0.0,0.35,0.31125054927451323,3,0.2,1.5,0.06,0.8,0.05,20.0,0.5068029456955999
Israel,31970.688886925298,8380100.0,0.9214,0.0,0.4,0.3584782813615938,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1781559119449155
Italy,34219.7614863179,60730582.0,0.6896399999999999,0.8666666666666666,0.7166666666666667,0.2046119687179293,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4149682944485
Jamaica,8333.484528244351,2793335.0,0.54788,0.6,0.4083333333333333,0.38100911347268046,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1537192743830224
Japan,37872.4617740679,126958472.0,0.93498,0.8,0.8166666666666667,0.21044253355545398,3,0.2,1.5,0.06,0.8,0.05,20.0,0.2109684809648879
Kazakhstan,23522.2905212378,17544126.0,0.53247,0.6,0.775,0.3305707553557686,3,0.2,1.5,0.06,0.8,0.05,20.0,0.04896889516145863
