scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
60,0.04,0.5,0,0.2,0.12,206.0553716,157.5953293,206.0553716,36.26574539,35.54521584,31.31725463,1.025037612,1.024925795,1.0022497
61,0.04,0.5,0,0.25,0,477.1544113,477.1544113,157.2440745,44.53441218,44.53441218,33.00436545,1.258748359,1.284124087,1.056242501
62,0.04,0.5,0,0.25,0.001,157.2440745,157.240455,157.2440745,39.27170761,39.27153839,32.98679138,1.11,1.132372157,1.055680076
63,0.04,0.5,0,0.25,0.002,157.2440745,157.2295706,157.2440745,39.23239659,39.23172212,32.96921731,1.108888889,1.131224078,1.055117651
64,0.04,0.5,0,0.25,0.003,157.2440745,157.2113874,157.2440745,39.19308557,39.19157358,32.95164324,1.107777778,1.130066418,1.054555226
65,0.04,0.5,0,0.25,0.004,157.2440745,157.1858779,157.2440745,39.15377455,39.15109685,32.93406917,1.106666667,1.128899295,1.053992801
66,0.04,0.5,0,0.25,0.005,157.2440745,157.1530209,157.2440745,39.11446353,39.11029622,32.91649509,1.105555556,1.127722832,1.053430376
67,0.04,0.5,0,0.25,0.006,157.2440745,157.1128023,157.2440745,39.07515251,39.06917629,32.89892102,1.104444444,1.126537162,1.052867951
68,0.04,0.5,0,0.25,0.007,157.2440745,157.0652132,157.2440745,39.03584149,39.02774182,32.88134695,1.103333333,1.125342423,1.052305526
69,0.04,0.5,0,0.25,0.008,157.2440745,157.010253,157.2440745,38.99653048,38.98599791,32.86377288,1.102222222,1.124138762,1.051743101
70,0.04,0.5,0,0.25,0.009,157.2440745,156.9479265,157.2440745,38.95721946,38.94394983,32.84619881,1.101111111,1.12292633,1.051180676
71,0.04,0.5,0,0.25,0.01,157.2440745,156.8782454,157.2440745,38.91790844,38.90160309,32.82862474,1.1,1.121705286,1.050618251
72,0.04,0.5,0,0.25,0.011,157.2440745,156.8012276,157.2440745,38.87859742,38.85896341,32.81105067,1.098888889,1.120475795,1.050055826
73,0.04,0.5,0,0.25,0.012,157.2440745,156.716898,157.2440745,38.8392864,38.81603671,32.7934766,1.097777778,1.119238029,1.049493401
74,0.04,0.5,0,0.25,0.013,157.2440745,156.6252899,157.2440745,38.79997538,38.77282925,32.77590253,1.096666667,1.117992166,1.048930976
75,0.04,0.5,0,0.25,0.014,157.2440745,156.5264363,157.2440745,38.76066436,38.72934712,32.75832846,1.095555556,1.116738384,1.048368551
76,0.04,0.5,0,0.25,0.015,157.2440745,156.4203844,157.2440745,38.72135335,38.68559697,32.74075438,1.094444444,1.115476874,1.047806126
77,0.04,0.5,0,0.25,0.02,157.2440745,155.7840648,157.2440745,38.52479825,38.46306287,32.65288403,1.088888889,1.109060232,1.044994001
78,0.04,0.5,0,0.25,0.025,157.2440745,154.9775423,157.2440745,38.32824316,38.23487896,32.56501367,1.083333333,1.10248068,1.042181876
79,0.04,0.5,0,0.25,0.03,157.2440745,154.0121078,157.2440745,38.13168807,38.00197872,32.47714332,1.077777778,1.095765136,1.039369751
80,0.04,0.5,0,0.25,0.035,157.2440745,152.9013462,157.2440745,37.93513297,37.76531331,32.38927296,1.072222222,1.088941026,1.036557626
81,0.04,0.5,0,0.25,0.04,157.2440745,151.6603527,157.2440745,37.73857788,37.52581815,32.30140261,1.066666667,1.082035321,1.033745501
82,0.04,0.5,0,0.25,0.045,157.2440745,150.3049564,157.2440745,37.54202279,37.28438455,32.21353225,1.061111111,1.075073722,1.030933376
