country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Chad,2043.5442307367002,14037472.0,0.048600000000000004,0.22471,0.026735900000000003,0.05942366000000001,0.02586387742728986,0.03014438195420585
Channel Islands,,163692.0,,0.31465,,,,
Chile,22197.0427130463,17948141.0,0.0463,0.8953,0.10335649999999999,0.1811644,0.27667821127356884,0.14281366359851747
China,13572.1940877276,1371220000.0,0.052300000000000006,0.55614,0.305054,0.4840392,,
Colombia,12988.338794540401,48228704.0,0.0336,0.76436,0.057145289999999994,0.1673623,0.12269429867232788,0.08732756485972662
Comoros,1393.25608064357,788474.0,0.0401,0.28296,0.03531137,0.1475529,0.036605229136707475,0.02693787180592966
"Congo, Dem. Rep.",736.680244900367,77266814.0,0.0554,0.42494,0.02017935,0.06591558,0.05345055530427089,0.0784773467517702
"Congo, Rep.",5993.153100883521,4620330.0,0.042,0.6537999999999999,0.044292179999999994,0.13450479999999998,0.1719690500661691,0.13940263943101538
Costa Rica,14646.5698200328,4807850.0,0.042,0.76821,0.16048690000000002,0.2962873,0.2560476858962857,0.1631500651955905
Cote d'Ivoire,3300.07248941983,22701556.0,0.051100000000000007,0.5418,0.028859220000000005,0.1283048,,
Croatia,20663.9294877334,4203604.0,0.0687,0.5896399999999999,0.2455249,0.292387,0.3912030319877197,0.26822971876610086
Cuba,21016.6504089734,11389562.0,,0.77074,,,,
Curacao,,157979.0,,0.89331,,,,
Cyprus,30382.687004096202,1165300.0,0.0799,0.6692100000000001,0.15590479999999998,0.2639375,,
Czech Republic,30380.5907321466,10546059.0,0.0955,0.72992,0.3099159,0.4227365,,
Denmark,45483.7645089796,5683483.0,0.0848,0.87676,0.5787514,0.6937743000000001,,
Djibouti,3279.12390160064,887861.0,0.0492,0.7734300000000001,0.01797438,0.043676589999999994,0.2858701354316727,0.08565180357270068
Dominica,10204.0356884024,72680.0,,0.6953900000000001,,,0.5815343307526244,0.08303201217611587
Dominican Republic,13371.5287984675,10528391.0,0.0493,0.7898000000000001,0.16015629999999997,0.3398572,0.2167073734240724,0.11828219625866958
Early-demographic dividend,8156.07219049292,3122757473.68203,,0.441386423399802,,,,
East Asia & Pacific,15146.555579804299,2279146555.0,,0.566299500478545,,,,
East Asia & Pacific (IDA & IBRD countries),12308.468374298,2009880516.0,,0.528403798385237,,,,
East Asia & Pacific (excluding high income),12179.352536058,2035078896.0,,0.529403432733249,,,,
Ecuador,10776.577655426801,16144363.0,0.0484,0.63742,0.09100455,0.1761092,0.2769967741263885,0.18342049292966386
"Egypt, Arab Rep.",10249.9579136244,91508084.0,,0.43134999999999996,0.020687630000000002,0.054469970000000006,0.10013164023017088,0.11927926539328736
El Salvador,8095.55898404423,6126583.0,0.0572,0.66726,0.0411891,0.2072156,0.1693604679350849,0.1980808255660691
Equatorial Guinea,38243.3542360766,845060.0,,0.39923000000000003,,,,
Eritrea,1411.15763791112,4789568.0,,0.20954,,,,
Estonia,27345.2468656718,1314608.0,0.0717,0.67538,0.24340720000000002,0.36489649999999996,,
Ethiopia,1529.89378255456,99390750.0,0.0803,0.19472,0.09488185000000002,0.1639884,,
Euro area,37722.0394318978,339373830.0,,0.75919827641875,0.37590640000000003,0.5452209,,
Europe & Central Asia,28315.6607185487,907791157.0,,0.708685342254589,,,,
Europe & Central Asia (IDA & IBRD countries),18272.7154916973,453480582.0,,0.646452434383978,,,,
Europe & Central Asia (excluding high income),17597.160984802398,411290566.0,,0.650844817462587,,,,
European Union,35630.296927597796,509557762.0,,0.747980683492385,,,,
Faroe Islands,,48199.0,,0.41961999999999994,,,,
Fiji,8756.400469050692,892145.0,0.061,0.53728,,,0.193288704870383,0.12634736653352485
Finland,38993.6706673048,5479531.0,0.0943,0.84221,0.43246429999999997,0.6640016999999999,,
Fragile and conflict affected situations,3764.7802498081105,485613879.0,,0.408284413825001,,,,
France,37774.9991812167,66538391.0,0.078,0.7951999999999999,0.4053758,0.5990517,,
French Polynesia,,282764.0,,0.5588000000000001,,,,
Gabon,18860.2141534609,1725292.0,0.0582,0.8715600000000001,0.08577912,0.2428994,0.21919784534284376,0.12051671406175977
"Gambia, The",1577.56903949105,1990924.0,0.04769999999999999,0.59632,,,,
Georgia,9015.88776688592,3717100.0,0.0559,0.53641,0.011648849999999999,0.008063393,0.9832011784414143,0.5428108927360503
